name, capital,location,pop(mil),rank,area(km2),rank_area,currency,national holiday
Austria,Vienna,Central Europe,8.36,91,83879,112,EuroCent,26 Oct
Croatia,Zagreb,Central Europe,4.4,120,56542,124,KunaLipa,30 May
Czech Republic,Prague,Central Europe,10.5,78,78866,113,Cz-KorunaHaléř,8 May & 5 Jul
Belarus,Minsk,Eastern Europe,9.66,86,207595,84,Belarusian Ruble,27 Jul
Estonia,Tallinn (Reval),Northeast Europe,1.34,150,45227,129,CrownSenti,24 Feb
Denmark,Copenhagen,Northern Europe,5.53,109,43098,130,KroneÖre,5 Jun
Fcapitalinland,Helsinki,Northern Europe,5.3,111,390920,60,EuroCent,6 Dec
Andorra,Andorra la Vella,South-western Europe,0.085,186,467,181,EuroCent,8 Sep
Albania,Tirana,Southeast Europe,3.1,133,28748,140,LekQuindarka,28 Nov
Bosnia Herzegovina,Sarajevo,Southeast Europe,3.76,126,51129,125,MarkFening,1 Mar
Bulgaria,Sofia,Southeast Europe,7.58,95,110912,102,LewStotinki,3 Mar
Belgium,Brussels,Western Europe,10.8,76,32545,137,EuroCent,21 Jul
France,Paris,Western Europe,62.6,21,543965,48,EuroCent,14 Jul
Germany,Berlin,Central Europe,81.88,16,357123,63,EuroCent,3 Oct
Hungary,Budapest,Central Europe,10.02,83,93030,108,ForintFillér,15 Mar & 20 Aug
Liechtenstein,Vaduz,Central Europe,0.036,191,160,191,FrancRappen,15 Aug
Greece,Athens,Southeast Europe,11.3,73,131957,95,EuroCent,25 Mar & 28 Oct
Kosovo,Pristina,Southeast Europe,1.8,145,10887,162,EuroCent,17 Feb
Macedonia,Skopje,Southeast Europe,2.04,143,25713,146,DenarDeni,2 Aug & 8 Sep
Moldova,Chisinau,Southeast Europe,3.6,128,33800,136,LeuBani,27 Aug
Montenegro,Podgorica,Southeast Europe,0.624,163,13812,157,EuroCent,13 Jul
Italy,Rome,Southern Europe,60.2,23,301336,71,EuroCent,2 Jun
Malta,Valletta,Southern Europe,0.415,168,316,187,Malt.-LiraCent,31 Mar
Monaco,Monaco,Southwestern Europe,0.033,191,2.02,195,EuroCent,19 Nov
Great Britain & Northern Island,London,Western Europe,63.1,22,242910,78,Poundpence,2nd Sat in June
Ireland,Dublin,Western Europe,4.45,119,70273,118,EuroCent,17 Mar
Luxembourg,Luxembourg,Western Europe,0.498,167,2586,169,EuroCent,23 Jun
Netherlands,Amsterdam,Western Europe,16.5,61,41526,131,EuroCent,30 Apr
Turkey,Ankara,AsiaSouth-East Europe,74.8,17,779452,36,Turk.-LiraKurus,29 Oct
Poland,Warsaw,Central Europe,38.15,33,312685,69,ZlotyGrosz,3 May
Slovakia,Bratislava,Central Europe,5.4,110,49034,127,EuroCent,1 Jan
Slovenia,Ljubljana,Central Europe,2.04,142,20253,151,EuroCent,25 Jun & 26 Dec
Switzerland,Bern,Central Europe,7.73,94,41285,132,FrancsRappen,1 Aug
Ukraine,Kiev,Eastern Europe,46.0,27,603700,44,HrywnjaKopijki,24 Aug
Russia,Moscow,Eastern EuropeAsia,141.8,9,17075400,1,RubleKopeck,2 Apr9 May
Sweden,Stockholm,Northern Europe,9.3,87,449964,56,S.-CrownÖre,6 Jun
Serbia,Belgrade,South-Eastern Europe,7.32,98,77474,115,DinarPara,7 Jul & 29 Nov
Romania,Bucharest,Southeast Europe,21.5,53,238391,81,LeuBani,1 Dec
San Marino,San Marino,Southern Europe,0.031,192,61.2,192,EuroCent,3 Sep
Vatican City,Vatican City,Southern Europe,0.0008,196,0.44,196,EuroCent,22 Oct
Portugal,Lisbon,Southwestern Europe,10.6,77,92345,109,EuroCent,10 Jun & 5 Oct
Spain,Madrid,Southwestern Europe,45.9,28,504645,51,EuroCent,12 Oct
United Kingdom,London,Western Europe,63.1,22,242910,78,Poundpence,2nd Sat in June
