name,capital,location,pop(mil),rank,area(km2),rank_area,currency,national holiday
Afghanistan,Kabul,Central Asia,29.8,40,652225,40,Afghani, Pul 18 Aug
Albania,Tirana,Southeast Europe,3.1,133,28748,140,Lek, Quindarka 28 Nov
Algeria,Algiers,North Africa,34.9,34,2381741,10,Dinar, Centimes 5 Jul & 1 Nov
Andorra,Andorra la Vella,South-western Europe,0.085,186,467,181,Euro, Cent 8 Sep
Angola,Luanda,South-West Africa,18.5,59,1246700,22,Kwanza, Centim 11 Nov
Antigua & Barbuda,St. John’s,Caribbean,0.088,184,442,183,East Caribbean Dollars, Cents 1 Nov
Argentina,Buenos Aires,South America,40.3,31,2780400,8,Peso, Centavos 25 May & 10 Jun
Armenia,Yerevan,Western Asia,3.08,134,29800,139,Dram, Luma 28 May & 21 Sep
Australia,Canberra,Oceania,21.9,52,7692000,6,Austr. Dollar, Cent 26 Jan
Austria,Vienna,Central Europe,8.36,91,83879,112,Euro, Cent 26 Oct
Azerbaijan,Baku,Western Asia,8.8,90,86600,111,Manat, Gepik 28 May
