Date,Socrata Users,Socrata Sessions,Socrata Bounce Rate,Geohub Users,Geohub Sessions,Geohub Bounce Rate,Combined Users
2014-05-23T00:00:00,133,233,21.8884,,,,
2014-05-24T00:00:00,42,47,42.5532,,,,
2014-05-25T00:00:00,31,34,44.1176,,,,
2014-05-26T00:00:00,50,55,41.8182,,,,
2014-05-27T00:00:00,232,434,24.424,,,,
2014-05-28T00:00:00,223,415,28.9157,,,,
2014-05-29T00:00:00,439,710,27.4648,,,,
2014-05-30T00:00:00,636,980,30.4082,,,,
2014-05-31T00:00:00,1986,2385,45.1992,,,,
2014-06-01T00:00:00,1525,1721,41.778,,,,
2014-06-02T00:00:00,2266,2588,49.3045,,,,
2014-06-03T00:00:00,2365,2622,65.103,,,,
2014-06-04T00:00:00,643,839,44.2193,,,,
2014-06-05T00:00:00,3228,3424,67.7278,,,,
2014-06-06T00:00:00,605,695,58.4173,,,,
2014-06-07T00:00:00,135,151,53.6424,,,,
2014-06-08T00:00:00,113,131,54.9618,,,,
2014-06-09T00:00:00,288,381,43.5696,,,,
2014-06-10T00:00:00,347,432,41.4352,,,,
2014-06-11T00:00:00,317,400,45.5,,,,
2014-06-12T00:00:00,258,330,45.4545,,,,
2014-06-13T00:00:00,159,190,43.1579,,,,
2014-06-14T00:00:00,59,71,52.1127,,,,
2014-06-15T00:00:00,75,86,56.9767,,,,
2014-06-16T00:00:00,218,269,50.1859,,,,
2014-06-17T00:00:00,240,310,48.7097,,,,
2014-06-18T00:00:00,345,440,53.4091,,,,
2014-06-19T00:00:00,229,301,48.1728,,,,
2014-06-20T00:00:00,242,283,54.0636,,,,
2014-06-21T00:00:00,58,63,60.3175,,,,
2014-06-22T00:00:00,59,63,50.7937,,,,
2014-06-23T00:00:00,176,252,41.6667,,,,
2014-06-24T00:00:00,221,263,50.1901,,,,
2014-06-25T00:00:00,193,248,38.7097,,,,
2014-06-26T00:00:00,165,205,44.3902,,,,
2014-06-27T00:00:00,172,201,49.7512,,,,
2014-06-28T00:00:00,49,51,49.0196,,,,
2014-06-29T00:00:00,59,67,55.2239,,,,
2014-06-30T00:00:00,193,251,46.2151,,,,
2014-07-01T00:00:00,208,279,44.8029,,,,
2014-07-02T00:00:00,166,206,42.7184,,,,
2014-07-03T00:00:00,335,388,38.1443,,,,
2014-07-04T00:00:00,56,66,65.1515,,,,
2014-07-05T00:00:00,46,50,42,,,,
2014-07-06T00:00:00,75,81,33.3333,,,,
2014-07-07T00:00:00,214,270,42.2222,,,,
2014-07-08T00:00:00,231,277,45.1264,,,,
2014-07-09T00:00:00,188,237,50.211,,,,
2014-07-10T00:00:00,175,228,45.614,,,,
2014-07-11T00:00:00,115,142,55.6338,,,,
2014-07-12T00:00:00,19,23,52.1739,,,,
2014-07-13T00:00:00,46,50,36,,,,
2014-07-14T00:00:00,175,221,45.7014,,,,
2014-07-15T00:00:00,164,201,46.7662,,,,
2014-07-16T00:00:00,202,249,41.7671,,,,
2014-07-17T00:00:00,143,173,41.6185,,,,
2014-07-18T00:00:00,148,174,38.5057,,,,
2014-07-19T00:00:00,48,59,45.7627,,,,
2014-07-20T00:00:00,58,67,64.1791,,,,
2014-07-21T00:00:00,174,223,47.9821,,,,
2014-07-22T00:00:00,155,194,43.8144,,,,
2014-07-23T00:00:00,139,171,43.2749,,,,
2014-07-24T00:00:00,151,182,43.956,,,,
2014-07-25T00:00:00,103,127,37.7953,,,,
2014-07-26T00:00:00,36,44,47.7273,,,,
2014-07-27T00:00:00,40,43,62.7907,,,,
2014-07-28T00:00:00,148,183,46.9945,,,,
2014-07-29T00:00:00,182,229,42.3581,,,,
2014-07-30T00:00:00,152,199,37.6884,,,,
2014-07-31T00:00:00,194,252,41.6667,,,,
2014-08-01T00:00:00,132,176,45.4545,,,,
2014-08-02T00:00:00,43,46,58.6957,,,,
2014-08-03T00:00:00,49,60,41.6667,,,,
2014-08-04T00:00:00,167,208,43.2692,,,,
2014-08-05T00:00:00,171,203,44.335,,,,
2014-08-06T00:00:00,181,248,41.9355,,,,
2014-08-07T00:00:00,163,228,39.4737,,,,
2014-08-08T00:00:00,152,190,41.0526,,,,
2014-08-09T00:00:00,42,50,62,,,,
